Inkooporder,Inkooporder Pos,Artikelnummer,Levaranciers art.num.,EAN Nummer,Omschrijving,Bestel hoeveelheid,Bestel hvh Eenheid,Nettoprijs per Eh,Totaal,Leverdatum
131070,10,5.82.500.41,105090,8715316076237,"Emma Office S3 Trento-D zwart, 41",1,PR,68.76,68.76,20210308
131070,20,5.82.500.46,105090,8715316076282,"Emma Office S3 Trento-D zwart, 46",1,PR,68.76,68.76,20210308
131070,30,5.82.550.43,164090,8715316104978,"Emma hoog Valentino-D S3 zwart, 43",1,PR,95.34,95.34,20210308
131070,40,5.82.550.44,164090,8715316104985,"Emma hoog Valentino-D S3 zwart, 44",1,PR,95.34,95.34,20210308
131070,50,5.83.300.42,700540,8715316020070,Emma laag S2 Roy-D PUR zwart  42,2,PR,42.69,85.38,20210308
131070,60,5.83.360.45,786540,8715316077852,"Emma laag S1 Daytona-D PUR zwart, 45",2,PR,57.84,115.68,20210308
131070,70,5.83.470.36,720546,8715316073687,"Emma laag S3 Rocky-D PU grijs, 36",2,PR,55.77,111.54,20210308
131070,80,5.83.470.37,720546,8715316073694,"Emma laag S3 Rocky-D PU grijs, 37",2,PR,55.77,111.54,20210308
131070,90,5.83.470.38,720546,8715316073700,"Emma laag S3 Rocky-D PU grijs, 38",2,PR,55.77,111.54,20210308
131070,100,5.83.470.40,720546,8715316073724,"Emma laag S3 Rocky-D PU grijs, 40",3,PR,55.77,167.31,20210308
131070,110,5.83.470.46,720546,8715316073786,"Emma laag S3 Rocky-D PU grijs, 46",5,PR,55.77,278.85,20210308
131070,120,5.83.470.47,720546,8715316073793,"Emma laag S3 Rocky-D PU grijs, 47",3,PR,55.77,167.31,20210308
131070,130,5.83.551.46,408647-46,8715316139017,"Emma laag S3 Max MF-D ESD zwart, 46",1,PR,56.4,56.4,20210308
131070,140,5.83.612.45,935569-45,8715316145360,"Emma laag Clay XD S3 zwart, 45",2,PR,56.31,112.62,20210308
131070,150,5.83.630.43,500544,8715316110535,Emma instap S2 Vaya-D PUR wit 43,1,PR,44.61,44.61,20210308
131070,160,5.92.150.39,580860,8715316083419,bontlaars Emma Galus-XD S2 DUO zwart  39,1,PR,72.57,72.57,20210308
131070,170,5.93.690.42,334548-42,8715316137761,"Emma Hoog S3 Himalaya-D PUR zwart, 42",2,PR,57.24,114.48,20210308
